column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
55	5129	2	39	191896	37.41	38	38	38	0	38	38	3	0	5124	1	1	5129
56	5129	2	39	185072	36.08	37	38	38	1	36	39	2176	545	1666	741	1	5129
57	5129	12	39	186238	36.31	38	38	38	0	38	38	1806	1750	229	1344	0	5129
58	5129	2	39	186017	36.27	37	38	38	1	36	39	428	584	1036	3080	1	5129
59	5129	2	39	188003	36.65	38	38	39	1	37	39	917	707	2618	885	2	5129
60	5129	14	39	191267	37.29	38	39	39	1	37	39	585	467	560	3517	0	5129
61	5129	13	39	192842	37.60	38	39	39	1	37	39	12	2805	25	2287	0	5129
62	5129	14	39	195331	38.08	38	39	39	1	37	39	5090	6	13	20	0	5129
63	5129	13	39	195914	38.20	38	39	39	1	37	39	5028	0	100	1	0	5129
64	5129	14	39	197001	38.41	39	39	39	0	39	39	26	1	5097	5	0	5129
65	5129	14	39	196723	38.36	39	39	39	0	39	39	2	122	28	4977	0	5129
66	5129	14	39	196231	38.26	39	39	39	0	39	39	10	4711	38	370	0	5129
67	5129	14	39	194849	37.99	39	39	39	0	39	39	4334	71	46	678	0	5129
68	5129	14	39	196591	38.33	39	39	39	0	39	39	46	7	5006	70	0	5129
69	5129	14	39	192902	37.61	38	39	39	1	37	39	988	2943	286	912	0	5129
70	5129	14	39	190126	37.07	38	38	39	1	37	39	469	27	3517	1116	0	5129
71	5129	14	39	193259	37.68	38	38	39	1	37	39	21	5	5091	12	0	5129
72	5129	2	39	193227	37.67	38	38	39	1	37	39	5	10	29	5084	1	5129
73	5129	14	39	189452	36.94	38	38	38	0	38	38	1836	1341	1886	66	0	5129
74	5129	14	39	192744	37.58	38	38	39	1	37	39	5013	1	36	79	0	5129
75	5129	14	39	197420	38.49	39	39	39	0	39	39	5126	1	2	0	0	5129
76	5129	16	39	197697	38.54	39	39	39	0	39	39	5121	1	4	3	0	5129
77	5129	14	39	194211	37.87	39	39	39	0	39	39	873	16	1229	3011	0	5129
78	5129	14	39	191530	37.34	38	39	39	1	37	39	264	1529	791	2545	0	5129
79	5129	14	39	190548	37.15	38	39	39	1	37	39	3	1301	2204	1621	0	5129
80	5129	14	39	191188	37.28	38	39	39	1	37	39	1116	2649	215	1149	0	5129
81	5129	14	39	192906	37.61	38	38	39	1	37	39	159	129	4585	256	0	5129
82	5129	14	39	188786	36.81	38	38	39	1	37	39	846	901	3331	51	0	5129
83	5129	14	39	188259	36.70	38	38	38	0	38	38	425	39	4354	311	0	5129
84	5129	2	39	190893	37.22	38	38	38	0	38	38	10	7	5109	2	1	5129
85	5129	12	39	191804	37.40	38	38	38	0	38	38	9	5067	46	7	0	5129
86	5129	12	39	191371	37.31	38	38	39	1	37	39	28	299	1	4801	0	5129
87	5129	13	39	195017	38.02	38	39	39	1	37	39	24	4715	1	389	0	5129
88	5129	13	39	196640	38.34	39	39	39	0	39	39	5071	21	11	26	0	5129
89	5129	14	39	197600	38.53	39	39	39	0	39	39	5111	8	0	10	0	5129
90	5129	13	39	196267	38.27	39	39	39	0	39	39	55	5059	11	4	0	5129
91	5129	13	39	194768	37.97	38	39	39	1	37	39	2	4059	352	716	0	5129
92	5129	12	39	190223	37.09	38	38	38	0	38	38	44	3265	911	909	0	5129
93	5129	12	39	190420	37.13	38	38	39	1	37	39	119	3957	282	771	0	5129
94	5129	12	39	186826	36.43	38	38	39	1	37	39	1122	189	2662	1156	0	5129
95	5129	12	39	186400	36.34	37	38	38	1	36	39	774	6	1785	2564	0	5129
96	5129	12	39	187706	36.60	38	38	39	1	37	39	1055	2830	488	756	0	5129
97	5129	12	39	187516	36.56	38	38	39	1	37	39	1833	1806	1427	63	0	5129
98	5129	12	39	185555	36.18	37	38	39	2	34	39	1467	1765	681	1216	0	5129
99	5129	2	39	187458	36.55	38	38	39	1	37	39	23	51	3234	1820	1	5129
100	5129	12	39	189410	36.93	38	38	39	1	37	39	8	3228	1851	42	0	5129
101	5129	12	39	193085	37.65	38	38	39	1	37	39	27	5036	41	25	0	5129
102	5129	12	39	188474	36.75	38	38	39	1	37	39	1335	390	2939	465	0	5129
103	5129	12	39	189418	36.93	38	38	39	1	37	39	89	161	642	4237	0	5129
104	5129	2	39	191635	37.36	38	38	39	1	37	39	70	422	46	4590	1	5129
105	5129	12	39	190912	37.22	38	38	39	1	37	39	68	67	3807	1187	0	5129
106	5129	12	39	191143	37.27	38	39	39	1	37	39	3234	4	1868	23	0	5129
107	5129	12	39	194204	37.86	38	39	39	1	37	39	4996	22	90	21	0	5129
108	5129	12	39	195737	38.16	39	39	39	0	39	39	4766	14	5	344	0	5129
109	5129	12	39	193892	37.80	39	39	39	0	39	39	1908	3214	0	7	0	5129
110	5129	13	39	192859	37.60	39	39	39	0	39	39	58	1898	6	3167	0	5129
111	5129	12	39	192743	37.58	39	39	39	0	39	39	30	73	3207	1819	0	5129
112	5129	12	39	193516	37.73	38	39	39	1	37	39	355	64	4621	89	0	5129
113	5129	12	39	189187	36.89	38	39	39	1	37	39	70	1547	1784	1728	0	5129
114	5129	12	39	187027	36.46	38	38	39	1	37	39	832	1101	2148	1048	0	5129
115	5129	12	39	183981	35.87	37	38	39	2	34	39	1185	253	1952	1739	0	5129
116	5129	12	39	183930	35.86	37	38	38	1	36	39	319	1570	1506	1734	0	5129
117	5129	12	39	187131	36.48	38	38	39	1	37	39	393	3270	780	686	0	5129
118	5129	12	39	189165	36.88	38	38	39	1	37	39	44	1853	5	3227	0	5129
119	5129	12	39	192553	37.54	38	39	39	1	37	39	134	557	39	4399	0	5129
120	5129	2	39	191350	37.31	38	39	39	1	37	39	461	75	3525	1067	1	5129
121	5129	12	39	191142	37.27	38	39	39	1	37	39	3206	1	1878	44	0	5129
122	5129	12	39	190337	37.11	38	39	39	1	37	39	1848	23	3242	16	0	5129
123	5129	12	39	189802	37.01	38	39	39	1	37	39	33	1	1899	3196	0	5129
124	5129	12	39	190740	37.19	38	39	39	1	37	39	93	3	3166	1867	0	5129
125	5129	12	39	189565	36.96	38	38	39	1	37	39	1520	595	2655	359	0	5129
126	5129	12	39	189201	36.89	38	39	39	1	37	39	290	1317	3021	501	0	5129
127	5129	12	39	188481	36.75	38	38	39	1	37	39	1577	3196	201	155	0	5129
128	5129	12	39	190313	37.11	38	38	38	0	38	38	41	45	4987	56	0	5129
129	5129	12	39	185822	36.23	38	38	38	0	38	38	3457	1	784	887	0	5129
130	5129	12	39	185475	36.16	37	38	38	1	36	39	1596	0	3221	312	0	5129
131	5129	12	39	185687	36.20	38	38	38	0	38	38	3232	4	1871	22	0	5129
132	5129	12	39	188461	36.74	38	38	38	0	38	38	4496	271	361	1	0	5129
133	5129	12	39	192537	37.54	38	38	39	1	37	39	32	1	5090	6	0	5129
134	5129	12	39	185008	36.07	37	38	39	2	34	39	395	65	1923	2746	0	5129
135	5129	12	39	183035	35.69	37	38	39	2	34	39	3501	315	70	1243	0	5129
136	5129	12	39	184879	36.05	37	38	39	2	34	39	1070	88	1762	2209	0	5129
137	5129	12	39	188249	36.70	37	38	39	2	34	39	743	8	4323	55	0	5129
138	5129	12	39	186142	36.29	38	38	38	0	38	38	129	3147	1715	138	0	5129
139	5129	12	39	184559	35.98	37	38	38	1	36	39	23	1428	3270	408	0	5129
140	5129	12	39	187731	36.60	38	38	38	0	38	38	23	25	5059	22	0	5129
141	5129	12	39	185428	36.15	37	38	38	1	36	39	3228	0	1879	22	0	5129
142	5129	12	39	185667	36.20	37	38	38	1	36	39	5063	2	47	17	0	5129
143	5129	12	39	185318	36.13	37	38	38	1	36	39	1880	19	28	3202	0	5129
144	5129	12	39	187096	36.48	37	38	39	2	34	39	48	197	3106	1778	0	5129
145	5129	12	39	188924	36.83	37	38	39	2	34	39	43	3164	280	1642	0	5129
146	5129	12	39	184240	35.92	37	38	38	1	36	39	5	1675	3124	325	0	5129
147	5129	12	39	182066	35.50	36	37	38	2	33	39	297	1050	605	3177	0	5129
148	5129	12	39	183651	35.81	37	38	38	1	36	39	272	60	3165	1632	0	5129
149	5129	12	39	183823	35.84	37	37	38	1	36	39	601	24	4190	314	0	5129
150	5129	12	39	178878	34.88	36	37	38	2	33	39	23	3	1896	3207	0	5129
151	5129	12	39	179935	35.08	36	37	38	2	33	39	23	2	3276	1828	0	5129
152	5129	12	39	183104	35.70	36	37	38	2	33	39	20	0	1881	3228	0	5129
153	5129	12	39	184821	36.03	37	37	39	2	34	39	3219	1	52	1857	0	5129
154	5129	12	39	185713	36.21	37	37	39	2	34	39	1856	8	3239	26	0	5129
155	5129	12	39	186248	36.31	37	38	39	2	34	39	32	3214	1862	21	0	5129
156	5129	12	39	183845	35.84	37	37	38	1	36	39	20	1842	3266	1	0	5129
157	5129	12	39	185328	36.13	37	37	38	1	36	39	3	25	5081	20	0	5129
158	5129	12	39	177536	34.61	35	37	38	3	31	39	4	3	1944	3178	0	5129
159	5129	12	39	173052	33.74	33	37	38	5	26	39	100	5	3232	1792	0	5129
160	5129	12	39	178986	34.90	36	37	38	2	33	39	3223	2	1877	27	0	5129
161	5129	12	39	185593	36.19	37	37	38	1	36	39	4995	3	110	21	0	5129
162	5129	12	39	187813	36.62	37	37	38	1	36	39	5063	4	43	19	0	5129
163	5129	12	39	185685	36.20	37	37	38	1	36	39	1895	11	10	3213	0	5129
164	5129	12	39	185172	36.10	37	37	38	1	36	39	52	18	3220	1839	0	5129
165	5129	12	39	185534	36.17	37	37	38	1	36	39	33	3210	1856	30	0	5129
166	5129	12	39	184555	35.98	37	37	38	1	36	39	3101	1846	136	46	0	5129
167	5129	12	39	183978	35.87	37	37	38	1	36	39	300	51	981	3797	0	5129
168	5129	12	39	182515	35.58	37	37	38	1	36	39	3235	21	48	1825	0	5129
169	5129	12	39	183151	35.71	37	37	38	1	36	39	1884	0	3217	28	0	5129
170	5129	12	39	183216	35.72	37	37	38	1	36	39	3241	0	1848	40	0	5129
171	5129	12	39	181633	35.41	37	37	38	1	36	39	1876	9	34	3210	0	5129
172	5129	12	39	182681	35.62	37	37	38	1	36	39	3241	4	318	1566	0	5129
173	5129	12	39	184537	35.98	37	37	38	1	36	39	1875	8	0	3246	0	5129
174	5129	12	39	183671	35.81	37	37	38	1	36	39	62	3112	0	1955	0	5129
175	5129	12	39	183038	35.69	37	37	38	1	36	39	3457	971	44	657	0	5129
176	5129	12	39	183646	35.81	37	37	38	1	36	39	1611	3128	146	244	0	5129
177	5129	12	39	183878	35.85	37	37	38	1	36	39	79	605	4140	305	0	5129
178	5129	12	39	183516	35.78	37	37	38	1	36	39	423	3088	1616	2	0	5129
179	5129	12	39	182173	35.52	37	37	38	1	36	39	4701	275	152	1	0	5129
180	5129	12	39	181222	35.33	37	37	38	1	36	39	1240	1	3888	0	0	5129
181	5129	12	39	180697	35.23	37	37	38	1	36	39	3256	0	1872	1	0	5129
182	5129	12	39	185787	36.22	37	37	38	1	36	39	5060	19	50	0	0	5129
183	5129	12	39	184177	35.91	37	37	38	1	36	39	1882	3212	30	5	0	5129
184	5129	12	39	181666	35.42	37	37	38	1	36	39	161	2432	1	2535	0	5129
185	5129	12	39	183214	35.72	37	37	38	1	36	39	1276	3263	0	590	0	5129
186	5129	12	39	186804	36.42	37	37	38	1	36	39	37	5080	10	2	0	5129
187	5129	12	39	183009	35.68	37	37	38	1	36	39	134	1877	3117	1	0	5129
188	5129	12	39	179001	34.90	36	37	37	1	35	38	3979	51	1090	9	0	5129
189	5129	12	39	179575	35.01	37	37	37	0	37	37	894	20	991	3224	0	5129
190	5129	12	39	182395	35.56	37	37	37	0	37	37	7	30	177	4915	0	5129
191	5129	12	39	182883	35.66	37	37	37	0	37	37	43	23	4202	861	0	5129
192	5129	12	39	181639	35.41	37	37	37	0	37	37	1	3208	1898	22	0	5129
193	5129	12	38	180488	35.19	37	37	37	0	37	37	42	1837	3246	4	0	5129
194	5129	12	38	177767	34.66	35	37	37	2	32	38	3223	29	1874	3	0	5129
195	5129	12	39	178805	34.86	35	37	37	2	32	39	5052	23	53	1	0	5129
196	5129	12	38	177580	34.62	34	37	37	3	30	38	1875	0	3253	1	0	5129
197	5129	12	38	180468	35.19	37	37	37	0	37	37	158	18	4930	23	0	5129
198	5129	12	38	180428	35.18	37	37	37	0	37	37	42	3204	1878	5	0	5129
199	5129	12	38	179429	34.98	37	37	37	0	37	37	3121	1832	174	2	0	5129
200	5129	12	38	179754	35.05	37	37	37	0	37	37	905	44	4178	2	0	5129
201	5129	12	39	179490	35.00	37	37	37	0	37	37	86	3234	1796	13	0	5129
202	5129	12	39	178674	34.84	37	37	37	0	37	37	2214	2642	57	216	0	5129
203	5129	12	38	180183	35.13	37	37	37	0	37	37	18	306	24	4781	0	5129
204	5129	12	38	178369	34.78	37	37	37	0	37	37	2562	833	343	1391	0	5129
205	5129	12	38	178917	34.88	37	37	37	0	37	37	1278	3234	323	294	0	5129
206	5129	12	39	182974	35.67	37	37	37	0	37	37	35	4918	20	156	0	5129
207	5129	12	39	179921	35.08	37	37	37	0	37	37	24	310	3231	1564	0	5129
208	5129	12	39	180793	35.25	37	37	37	0	37	37	271	33	4798	27	0	5129
209	5129	12	38	178088	34.72	37	37	37	0	37	37	332	3065	1694	38	0	5129
210	5129	12	39	174357	33.99	34	37	37	3	30	39	1554	146	3023	406	0	5129
211	5129	12	38	178410	34.78	37	37	37	0	37	37	31	4796	37	265	0	5129
212	5129	12	38	174846	34.09	35	37	37	2	32	38	196	1951	886	2096	0	5129
213	5129	12	38	176380	34.39	36	37	37	1	35	38	601	3105	1310	113	0	5129
214	5129	12	38	174513	34.02	35	37	37	2	32	38	1596	1128	583	1822	0	5129
215	5129	12	39	178109	34.73	37	37	37	0	37	37	4593	75	440	21	0	5129
216	5129	12	39	178385	34.78	37	37	37	0	37	37	1878	3216	21	14	0	5129
217	5129	12	39	178613	34.82	37	37	37	0	37	37	41	1848	20	3220	0	5129
218	5129	12	39	179072	34.91	37	37	37	0	37	37	18	29	3212	1870	0	5129
219	5129	12	39	178750	34.85	37	37	37	0	37	37	3214	42	1842	31	0	5129
220	5129	12	38	177821	34.67	37	37	37	0	37	37	1848	3204	52	25	0	5129
221	5129	12	38	176313	34.38	35	37	37	2	32	38	108	1858	3162	1	0	5129
222	5129	12	39	177333	34.57	35	37	37	2	32	39	636	3213	1238	42	0	5129
223	5129	12	38	172992	33.73	35	37	37	2	32	38	9	1078	143	3899	0	5129
224	5129	12	38	173113	33.75	35	37	37	2	32	38	30	1418	1837	1844	0	5129
225	5129	12	38	172875	33.71	35	37	37	2	32	38	3198	38	1859	34	0	5129
226	5129	12	39	173142	33.76	36	37	37	1	35	38	2332	5	1371	1421	0	5129
227	5129	12	39	177842	34.67	36	37	37	1	35	38	61	9	4461	598	0	5129
228	5129	12	39	178022	34.71	37	37	37	0	37	37	37	3178	1879	35	0	5129
229	5129	12	37	173666	33.86	36	37	37	1	35	37	3150	1746	65	168	0	5129
230	5129	12	37	174548	34.03	36	37	37	1	35	37	321	3270	231	1307	0	5129
231	5129	12	38	174788	34.08	35	37	37	2	32	38	43	1859	3222	5	0	5129
232	5129	12	37	171053	33.35	33	37	37	4	27	37	3238	37	1851	3	0	5129
233	5129	12	37	172811	33.69	33	37	37	4	27	37	5056	33	40	0	0	5129
234	5129	12	37	179351	34.97	35	37	37	2	32	37	5073	10	45	1	0	5129
235	5129	12	37	174068	33.94	35	37	37	2	32	37	1859	19	3246	5	0	5129
236	5129	12	37	165171	32.20	33	37	37	4	27	37	64	2080	1886	1099	0	5129
237	5129	12	38	164974	32.16	33	37	37	4	27	38	32	1227	3289	581	0	5129
238	5129	12	37	163362	31.85	32	35	37	5	25	37	76	390	1847	2816	0	5129
239	5129	12	39	164331	32.04	32	35	37	5	25	39	11	25	3336	1757	0	5129
240	5129	12	37	173276	33.78	33	37	37	4	27	37	2	1	5096	30	0	5129
241	5129	12	37	176963	34.50	33	37	37	4	27	37	2	0	5100	27	0	5129
242	5129	12	38	160221	31.24	30	35	37	7	20	38	57	6	2672	2394	0	5129
243	5129	12	37	160745	31.34	26	36	37	11	12	37	3231	3	1113	782	0	5129
244	5129	12	37	160804	31.35	30	37	37	7	20	37	1788	24	215	3102	0	5129
245	5129	12	39	170038	33.15	33	37	37	4	27	39	32	3210	1245	642	0	5129
246	5129	12	37	169691	33.08	33	37	37	4	27	37	203	1824	3098	4	0	5129
247	5129	12	37	173255	33.78	35	37	37	2	32	37	4888	41	200	0	0	5129
248	5129	12	39	176169	34.35	36	37	37	1	35	38	5063	56	8	2	0	5129
249	5128	12	37	173591	33.85	36	37	37	1	35	37	1925	3160	0	43	0	5129
250	5128	12	37	167555	32.67	32	37	37	5	25	37	3293	1808	22	5	0	5129
251	5094	12	37	145065	28.48	13	37	37	24	12	37	1710	0	3384	0	0	5129
